They like ice cream.	他们喜欢冰淇淋。
I like ice cream.	我喜欢冰淇淋。
We want soup.	我们想要汤。
They are a teacher.	他们是老师。
Emma like ice cream.	艾玛喜欢冰淇淋。
Anna eat dumplings.	安娜吃饺子。
Lucy like dumplings.	露西喜欢饺子。
Mike eat salad.	迈克吃沙拉。
Tom want soup.	汤姆想要汤。
Mary eat rice.	玛丽吃米饭。
John is a student.	约翰是学生。
I eat rice.	我吃米饭。
They like dumplings.	他们喜欢饺子。
Mary is a driver.	玛丽是司机。
Tom eat rice.	汤姆吃米饭。
We like bread.	我们喜欢面包。
We like dumplings.	我们喜欢饺子。
David like salad.	大卫喜欢沙拉。
Tom like rice.	汤姆喜欢米饭。
Mike like rice.	迈克喜欢米饭。
Tom want noodles.	汤姆想要面条。
Mary want pizza.	玛丽想要披萨。
Mary is a designer.	玛丽是设计师。
You eat bread.	你吃面包。
We want ice cream.	我们想要冰淇淋。
Mike is a designer.	迈克是设计师。
You are a student.	你是学生。
Tom eat ice cream.	汤姆吃冰淇淋。
Mary eat salad.	玛丽吃沙拉。
Emma eat soup.	艾玛吃汤。
David like bread.	大卫喜欢面包。
We are a doctor.	我们是医生。
I am a teacher.	我是老师。
Mary like ice cream.	玛丽喜欢冰淇淋。
They like soup.	他们喜欢汤。
John want soup.	约翰想要汤。
You want soup.	你想要汤。
John want noodles.	约翰想要面条。
Mike is a driver.	迈克是司机。
David eat dumplings.	大卫吃饺子。
Emma eat noodles.	艾玛吃面条。
Mike like noodles.	迈克喜欢面条。
They are a driver.	他们是司机。
I want bread.	我想要面包。
You eat pizza.	你吃披萨。
Mary eat soup.	玛丽吃汤。
Anna like salad.	安娜喜欢沙拉。
Mike want salad.	迈克想要沙拉。
They like bread.	他们喜欢面包。
I like salad.	我喜欢沙拉。
Mike eat ice cream.	迈克吃冰淇淋。
They eat salad.	他们吃沙拉。
Emma like pizza.	艾玛喜欢披萨。
Mike like ice cream.	迈克喜欢冰淇淋。
Anna like soup.	安娜喜欢汤。
Emma like bread.	艾玛喜欢面包。
John is a driver.	约翰是司机。
David like pizza.	大卫喜欢披萨。
Mike like bread.	迈克喜欢面包。
Lucy eat bread.	露西吃面包。
John eat rice.	约翰吃米饭。
Lucy is a doctor.	露西是医生。
Where is the restaurant?	餐厅在哪里？
You like noodles.	你喜欢面条。
They like rice.	他们喜欢米饭。
Tom eat bread.	汤姆吃面包。
Mary like bread.	玛丽喜欢面包。
Tom like pizza.	汤姆喜欢披萨。
Anna want salad.	安娜想要沙拉。
David want noodles.	大卫想要面条。
We are a teacher.	我们是老师。
Tom want rice.	汤姆想要米饭。
You like pizza.	你喜欢披萨。
They want bread.	他们想要面包。
We are a cook.	我们是厨师。
We are a designer.	我们是设计师。
We like noodles.	我们喜欢面条。
You are a driver.	你是司机。
Mary like salad.	玛丽喜欢沙拉。
Tom eat salad.	汤姆吃沙拉。
Tom want pizza.	汤姆想要披萨。
Emma is a designer.	艾玛是设计师。
David eat pizza.	大卫吃披萨。
I am a designer.	我是设计师。
Emma eat rice.	艾玛吃米饭。
Mike is a doctor.	迈克是医生。
We eat noodles.	我们吃面条。
John eat soup.	约翰吃汤。
David eat ice cream.	大卫吃冰淇淋。
Tom like ice cream.	汤姆喜欢冰淇淋。
Lucy is a teacher.	露西是老师。
John like salad.	约翰喜欢沙拉。
Emma is a nurse.	艾玛是护士。
Tom is a nurse.	汤姆是护士。
John is a doctor.	约翰是医生。
We eat bread.	我们吃面包。
Mike like dumplings.	迈克喜欢饺子。
We want bread.	我们想要面包。
Tom want ice cream.	汤姆想要冰淇淋。
Anna is a designer.	安娜是设计师。
We want rice.	我们想要米饭。
John want rice.	约翰想要米饭。
They are an engineer.	他们是工程师。
Lucy want noodles.	露西想要面条。
You eat noodles.	你吃面条。
Lucy is a cook.	露西是厨师。
Mary like noodles.	玛丽喜欢面条。
John want ice cream.	约翰想要冰淇淋。
David is an engineer.	大卫是工程师。
John eat bread.	约翰吃面包。
Lucy eat rice.	露西吃米饭。
They want rice.	他们想要米饭。
John like pizza.	约翰喜欢披萨。
I am a student.	我是学生。
Anna eat soup.	安娜吃汤。
Mike is a student.	迈克是学生。
Lucy like salad.	露西喜欢沙拉。
Anna want soup.	安娜想要汤。
Mike want noodles.	迈克想要面条。
Anna like rice.	安娜喜欢米饭。
Mary is a doctor.	玛丽是医生。
I am a cook.	我是厨师。
You eat rice.	你吃米饭。
Lucy want ice cream.	露西想要冰淇淋。
Tom like bread.	汤姆喜欢面包。
Tom like soup.	汤姆喜欢汤。
Tom is a student.	汤姆是学生。
Mike want dumplings.	迈克想要饺子。
Mike want bread.	迈克想要面包。
Anna is a driver.	安娜是司机。
Mary is a student.	玛丽是学生。
They are a student.	他们是学生。
Lucy is a driver.	露西是司机。
John eat pizza.	约翰吃披萨。
John want pizza.	约翰想要披萨。
David is a driver.	大卫是司机。
Emma want rice.	艾玛想要米饭。
Anna want dumplings.	安娜想要饺子。
Lucy like bread.	露西喜欢面包。
You eat salad.	你吃沙拉。
Mary eat bread.	玛丽吃面包。
You like salad.	你喜欢沙拉。
Emma want salad.	艾玛想要沙拉。
Mike like soup.	迈克喜欢汤。
Anna is a teacher.	安娜是老师。
Tom eat dumplings.	汤姆吃饺子。
John eat ice cream.	约翰吃冰淇淋。
David like soup.	大卫喜欢汤。
David eat noodles.	大卫吃面条。
David like dumplings.	大卫喜欢饺子。
I eat pizza.	我吃披萨。
Tom is a teacher.	汤姆是老师。
You want noodles.	你想要面条。
Tom eat soup.	汤姆吃汤。
We want noodles.	我们想要面条。
Emma eat salad.	艾玛吃沙拉。
I want soup.	我想要汤。
They are a designer.	他们是设计师。
Mary want soup.	玛丽想要汤。
You want dumplings.	你想要饺子。
Anna eat rice.	安娜吃米饭。
Lucy want pizza.	露西想要披萨。
Anna want bread.	安娜想要面包。
Mary eat noodles.	玛丽吃面条。
Mike is a nurse.	迈克是护士。
Tom is a designer.	汤姆是设计师。
You want rice.	你想要米饭。
I eat bread.	我吃面包。
They eat soup.	他们吃汤。
They want soup.	他们想要汤。
Mike is an engineer.	迈克是工程师。
They want dumplings.	他们想要饺子。
Lucy want rice.	露西想要米饭。
Mike want rice.	迈克想要米饭。
Where is the library?	图书馆在哪里？
John is an engineer.	约翰是工程师。
Emma eat dumplings.	艾玛吃饺子。
Anna want ice cream.	安娜想要冰淇淋。
We like pizza.	我们喜欢披萨。
I want pizza.	我想要披萨。
We are a nurse.	我们是护士。
I like dumplings.	我喜欢饺子。
David like ice cream.	大卫喜欢冰淇淋。
They want noodles.	他们想要面条。
Anna like pizza.	安娜喜欢披萨。
We like salad.	我们喜欢沙拉。
Mary want dumplings.	玛丽想要饺子。
Lucy is a student.	露西是学生。
Tom like noodles.	汤姆喜欢面条。
Mary is a nurse.	玛丽是护士。
Mary eat dumplings.	玛丽吃饺子。
Lucy want bread.	露西想要面包。
We are a driver.	我们是司机。
You eat ice cream.	你吃冰淇淋。
David want soup.	大卫想要汤。
They eat rice.	他们吃米饭。
They eat ice cream.	他们吃冰淇淋。
John is a teacher.	约翰是老师。
Emma eat pizza.	艾玛吃披萨。
Emma want pizza.	艾玛想要披萨。
They like pizza.	他们喜欢披萨。
I eat salad.	我吃沙拉。
Anna is a nurse.	安娜是护士。
Mike want soup.	迈克想要汤。
They like salad.	他们喜欢沙拉。
Emma eat ice cream.	艾玛吃冰淇淋。
Mike is a teacher.	迈克是老师。
I am an engineer.	我是工程师。
David eat soup.	大卫吃汤。
I want rice.	我想要米饭。
Tom want salad.	汤姆想要沙拉。
Emma want dumplings.	艾玛想要饺子。
Mike want ice cream.	迈克想要冰淇淋。
Anna want pizza.	安娜想要披萨。
I like soup.	我喜欢汤。
Mary want ice cream.	玛丽想要冰淇淋。
You are a cook.	你是厨师。
David want pizza.	大卫想要披萨。
John want dumplings.	约翰想要饺子。
I want ice cream.	我想要冰淇淋。
I eat ice cream.	我吃冰淇淋。
Lucy is a nurse.	露西是护士。
You are a nurse.	你是护士。
We are a student.	我们是学生。
David eat salad.	大卫吃沙拉。
John is a designer.	约翰是设计师。
Emma want noodles.	艾玛想要面条。
David is a nurse.	大卫是护士。
I want dumplings.	我想要饺子。
You like soup.	你喜欢汤。
You want pizza.	你想要披萨。
Emma want bread.	艾玛想要面包。
You are a designer.	你是设计师。
Mary is a teacher.	玛丽是老师。
Anna eat ice cream.	安娜吃冰淇淋。
Emma want dumplings.	艾玛想要饺子。
We want dumplings.	我们想要饺子。
Anna want rice.	安娜想要米饭。
We want ice cream.	我们想要冰淇淋。
Mary eat rice.	玛丽吃米饭。
They eat dumplings.	他们吃饺子。
Emma like soup.	艾玛喜欢汤。
We eat salad.	我们吃沙拉。
You want pizza.	你想要披萨。
Mary eat noodles.	玛丽吃面条。
Tom like salad.	汤姆喜欢沙拉。
Mary want dumplings.	玛丽想要饺子。
We want rice.	我们想要米饭。
You like rice.	你喜欢米饭。
John is a cook.	约翰是厨师。
I am a doctor.	我是医生。
Emma want ice cream.	艾玛想要冰淇淋。
They are a teacher.	他们是老师。
Emma want salad.	艾玛想要沙拉。
We are a driver.	我们是司机。
Mary want salad.	玛丽想要沙拉。
They want dumplings.	他们想要饺子。
You want ice cream.	你想要冰淇淋。
You are a cook.	你是厨师。
Mary eat noodles.	玛丽吃面条。
Tom want ice cream.	汤姆想要冰淇淋。
We eat rice.	我们吃米饭。
I am a student.	我是学生。
We like salad.	我们喜欢沙拉。
You are a student.	你是学生。
Anna is a student.	安娜是学生。
We want pizza.	我们想要披萨。
We want rice.	我们想要米饭。
Mike like bread.	迈克喜欢面包。
You are a student.	你是学生。
Lucy eat ice cream.	露西吃冰淇淋。
Where is the supermarket?	超市在哪里？
John is a driver.	约翰是司机。
We eat salad.	我们吃沙拉。
I am a doctor.	我是医生。
Mary like salad.	玛丽喜欢沙拉。
David eat rice.	大卫吃米饭。
Tom like pizza.	汤姆喜欢披萨。
John eat rice.	约翰吃米饭。
You eat ice cream.	你吃冰淇淋。
Mike like rice.	迈克喜欢米饭。
Emma is an engineer.	艾玛是工程师。
Anna like rice.	安娜喜欢米饭。
Mary want soup.	玛丽想要汤。
David is a student.	大卫是学生。
You are a driver.	你是司机。
They want salad.	他们想要沙拉。
You want rice.	你想要米饭。
They like soup.	他们喜欢汤。
Emma eat ice cream.	艾玛吃冰淇淋。
They like pizza.	他们喜欢披萨。
David want noodles.	大卫想要面条。
I want pizza.	我想要披萨。
I am a driver.	我是司机。
Anna want noodles.	安娜想要面条。
Lucy eat salad.	露西吃沙拉。
You are a nurse.	你是护士。
They like ice cream.	他们喜欢冰淇淋。
I am a teacher.	我是老师。
They want salad.	他们想要沙拉。
They are a teacher.	他们是老师。
You want bread.	你想要面包。
Mary like salad.	玛丽喜欢沙拉。
You are a student.	你是学生。
Lucy like salad.	露西喜欢沙拉。
I want rice.	我想要米饭。
We are a teacher.	我们是老师。
We eat ice cream.	我们吃冰淇淋。
They want bread.	他们想要面包。
Tom eat bread.	汤姆吃面包。
Mary is an engineer.	玛丽是工程师。
David is a nurse.	大卫是护士。
Tom want noodles.	汤姆想要面条。
Mary is a teacher.	玛丽是老师。
Mary want ice cream.	玛丽想要冰淇淋。
Mike like salad.	迈克喜欢沙拉。
They eat rice.	他们吃米饭。
I want rice.	我想要米饭。
I am a nurse.	我是护士。
They are a designer.	他们是设计师。
Mary eat rice.	玛丽吃米饭。
We eat ice cream.	我们吃冰淇淋。
Mary is a doctor.	玛丽是医生。
Mary like salad.	玛丽喜欢沙拉。
Mary is a designer.	玛丽是设计师。
Emma want dumplings.	艾玛想要饺子。
They want soup.	他们想要汤。
We eat rice.	我们吃米饭。
Anna eat ice cream.	安娜吃冰淇淋。
Mike eat ice cream.	迈克吃冰淇淋。
Emma like salad.	艾玛喜欢沙拉。
I like ice cream.	我喜欢冰淇淋。
You like rice.	你喜欢米饭。
Mary eat soup.	玛丽吃汤。
Tom like ice cream.	汤姆喜欢冰淇淋。
Mary want pizza.	玛丽想要披萨。
Mary want noodles.	玛丽想要面条。
Anna eat salad.	安娜吃沙拉。
Where is the library?	图书馆在哪里？
Mary eat soup.	玛丽吃汤。
Anna eat salad.	安娜吃沙拉。
I want ice cream.	我想要冰淇淋。
You eat salad.	你吃沙拉。
We eat noodles.	我们吃面条。
Anna want pizza.	安娜想要披萨。
Mike want noodles.	迈克想要面条。
We like rice.	我们喜欢米饭。
Mike like rice.	迈克喜欢米饭。
Emma like soup.	艾玛喜欢汤。
John is a student.	约翰是学生。
They want dumplings.	他们想要饺子。
You want dumplings.	你想要饺子。
Tom like rice.	汤姆喜欢米饭。
They want noodles.	他们想要面条。
Lucy want noodles.	露西想要面条。
David like ice cream.	大卫喜欢冰淇淋。
David eat ice cream.	大卫吃冰淇淋。
David want noodles.	大卫想要面条。
We eat rice.	我们吃米饭。
I like bread.	我喜欢面包。
Anna is a teacher.	安娜是老师。
Emma want rice.	艾玛想要米饭。
John like bread.	约翰喜欢面包。
David like rice.	大卫喜欢米饭。
David is a doctor.	大卫是医生。
Emma is a teacher.	艾玛是老师。
Emma eat ice cream.	艾玛吃冰淇淋。
We want pizza.	我们想要披萨。
You are a designer.	你是设计师。
We want rice.	我们想要米饭。
Mary is a nurse.	玛丽是护士。
They are a cook.	他们是厨师。
Emma is a designer.	艾玛是设计师。
Tom eat salad.	汤姆吃沙拉。
Mary is a nurse.	玛丽是护士。
Lucy want ice cream.	露西想要冰淇淋。
We want noodles.	我们想要面条。
They like dumplings.	他们喜欢饺子。
I eat bread.	我吃面包。
Emma want soup.	艾玛想要汤。
You are a designer.	你是设计师。
Mary want bread.	玛丽想要面包。
Mary is a teacher.	玛丽是老师。
Mary want soup.	玛丽想要汤。
Tom want noodles.	汤姆想要面条。
Mike want ice cream.	迈克想要冰淇淋。
Mike like bread.	迈克喜欢面包。
We want dumplings.	我们想要饺子。
They like soup.	他们喜欢汤。
Mary like noodles.	玛丽喜欢面条。
David want ice cream.	大卫想要冰淇淋。
Lucy like salad.	露西喜欢沙拉。
David want dumplings.	大卫想要饺子。
Tom like rice.	汤姆喜欢米饭。
Mary eat bread.	玛丽吃面包。
Mike eat pizza.	迈克吃披萨。
Mike like soup.	迈克喜欢汤。
I like pizza.	我喜欢披萨。
They like salad.	他们喜欢沙拉。
You want soup.	你想要汤。
Emma want dumplings.	艾玛想要饺子。
Mike like soup.	迈克喜欢汤。
They eat rice.	他们吃米饭。
You want ice cream.	你想要冰淇淋。
Emma is a teacher.	艾玛是老师。
We are a designer.	我们是设计师。
Lucy eat noodles.	露西吃面条。
Anna eat rice.	安娜吃米饭。
Emma eat salad.	艾玛吃沙拉。
Mike eat rice.	迈克吃米饭。
Mary eat dumplings.	玛丽吃饺子。
I like salad.	我喜欢沙拉。
John want pizza.	约翰想要披萨。
Anna is an engineer.	安娜是工程师。
We want dumplings.	我们想要饺子。
David want noodles.	大卫想要面条。
Mike like noodles.	迈克喜欢面条。
Lucy like dumplings.	露西喜欢饺子。
David eat bread.	大卫吃面包。
Mike eat salad.	迈克吃沙拉。
Where is the library?	图书馆在哪里？
They want salad.	他们想要沙拉。
They eat noodles.	他们吃面条。
Lucy is a driver.	露西是司机。
Anna want noodles.	安娜想要面条。
I want soup.	我想要汤。
They want ice cream.	他们想要冰淇淋。
Mary like soup.	玛丽喜欢汤。
Lucy is a nurse.	露西是护士。
Mike want dumplings.	迈克想要饺子。
Tom is a designer.	汤姆是设计师。
Lucy eat dumplings.	露西吃饺子。
Mike like rice.	迈克喜欢米饭。
We want noodles.	我们想要面条。
David want soup.	大卫想要汤。
We want rice.	我们想要米饭。
Anna eat salad.	安娜吃沙拉。
Anna eat rice.	安娜吃米饭。
Emma like dumplings.	艾玛喜欢饺子。
I want bread.	我想要面包。
David eat ice cream.	大卫吃冰淇淋。
David is a nurse.	大卫是护士。
You are a cook.	你是厨师。
We are a designer.	我们是设计师。
David is an engineer.	大卫是工程师。
David eat noodles.	大卫吃面条。
Mike is a student.	迈克是学生。
Anna is a cook.	安娜是厨师。
John is a student.	约翰是学生。
John like dumplings.	约翰喜欢饺子。
They are a cook.	他们是厨师。
David like pizza.	大卫喜欢披萨。
We like ice cream.	我们喜欢冰淇淋。
We like salad.	我们喜欢沙拉。
I eat bread.	我吃面包。
I like ice cream.	我喜欢冰淇淋。
We like salad.	我们喜欢沙拉。
We eat rice.	我们吃米饭。
Anna is a student.	安娜是学生。
Mike like salad.	迈克喜欢沙拉。
I am an engineer.	我是工程师。
John like noodles.	约翰喜欢面条。
I like ice cream.	我喜欢冰淇淋。
David like noodles.	大卫喜欢面条。
You like rice.	你喜欢米饭。
Mike like ice cream.	迈克喜欢冰淇淋。
Mike like salad.	迈克喜欢沙拉。
David like soup.	大卫喜欢汤。
Anna eat dumplings.	安娜吃饺子。
You are a student.	你是学生。
Emma want noodles.	艾玛想要面条。
Lucy is a driver.	露西是司机。
Mike eat soup.	迈克吃汤。
Anna eat rice.	安娜吃米饭。
Tom want dumplings.	汤姆想要饺子。
Emma eat dumplings.	艾玛吃饺子。
I want pizza.	我想要披萨。
Tom is a student.	汤姆是学生。
Tom want soup.	汤姆想要汤。
Tom is a student.	汤姆是学生。
Emma is a nurse.	艾玛是护士。
Anna like noodles.	安娜喜欢面条。
Tom is a driver.	汤姆是司机。
David eat rice.	大卫吃米饭。
Lucy is a nurse.	露西是护士。
You eat noodles.	你吃面条。
Tom eat bread.	汤姆吃面包。
We want rice.	我们想要米饭。
John is a doctor.	约翰是医生。
Lucy want ice cream.	露西想要冰淇淋。
Mary like rice.	玛丽喜欢米饭。
I want dumplings.	我想要饺子。
John want dumplings.	约翰想要饺子。
I like soup.	我喜欢汤。
Lucy like pizza.	露西喜欢披萨。
Lucy is an engineer.	露西是工程师。
Lucy is a teacher.	露西是老师。
David like pizza.	大卫喜欢披萨。
I eat dumplings.	我吃饺子。
I eat rice.	我吃米饭。
I am a driver.	我是司机。
Anna like noodles.	安娜喜欢面条。
Mary want soup.	玛丽想要汤。
I am a student.	我是学生。
Emma like soup.	艾玛喜欢汤。
We want rice.	我们想要米饭。
They eat bread.	他们吃面包。
You are a student.	你是学生。
Mary is a doctor.	玛丽是医生。
I eat rice.	我吃米饭。
Mike eat bread.	迈克吃面包。
Lucy eat rice.	露西吃米饭。
Tom is a designer.	汤姆是设计师。
Lucy like pizza.	露西喜欢披萨。
Lucy want soup.	露西想要汤。
David want pizza.	大卫想要披萨。
Anna eat rice.	安娜吃米饭。
Mike is a cook.	迈克是厨师。
I am a doctor.	我是医生。
Anna eat dumplings.	安娜吃饺子。
You eat dumplings.	你吃饺子。
Emma is a nurse.	艾玛是护士。
Lucy is a driver.	露西是司机。
Mary is a student.	玛丽是学生。
Mike eat soup.	迈克吃汤。
Tom like ice cream.	汤姆喜欢冰淇淋。
John like noodles.	约翰喜欢面条。
Lucy eat dumplings.	露西吃饺子。
Mary like salad.	玛丽喜欢沙拉。
David want dumplings.	大卫想要饺子。
I am a designer.	我是设计师。
Mike like rice.	迈克喜欢米饭。
Lucy like salad.	露西喜欢沙拉。
David like bread.	大卫喜欢面包。
We want rice.	我们想要米饭。
They eat soup.	他们吃汤。
You are a nurse.	你是护士。
John eat pizza.	约翰吃披萨。
Lucy eat ice cream.	露西吃冰淇淋。
Anna like noodles.	安娜喜欢面条。
John want soup.	约翰想要汤。
Emma want ice cream.	艾玛想要冰淇淋。
David eat bread.	大卫吃面包。
We are a nurse.	我们是护士。
Lucy want pizza.	露西想要披萨。
Lucy is an engineer.	露西是工程师。
You eat pizza.	你吃披萨。
David eat bread.	大卫吃面包。
Lucy want soup.	露西想要汤。
They want noodles.	他们想要面条。
Mike want bread.	迈克想要面包。
You like salad.	你喜欢沙拉。
Emma eat salad.	艾玛吃沙拉。
David want ice cream.	大卫想要冰淇淋。
David eat bread.	大卫吃面包。
Anna is a teacher.	安娜是老师。
Emma is a driver.	艾玛是司机。
You are an engineer.	你是工程师。
Anna want noodles.	安娜想要面条。
Tom like noodles.	汤姆喜欢面条。
David like noodles.	大卫喜欢面条。
You like soup.	你喜欢汤。
Emma like ice cream.	艾玛喜欢冰淇淋。
Lucy is a teacher.	露西是老师。
Anna is a cook.	安娜是厨师。
John is an engineer.	约翰是工程师。
John is a student.	约翰是学生。
We are a nurse.	我们是护士。
Tom like noodles.	汤姆喜欢面条。
You like ice cream.	你喜欢冰淇淋。
I eat salad.	我吃沙拉。
Emma is a driver.	艾玛是司机。
Tom want ice cream.	汤姆想要冰淇淋。
I eat ice cream.	我吃冰淇淋。
David like ice cream.	大卫喜欢冰淇淋。
Mike want rice.	迈克想要米饭。
Tom is a teacher.	汤姆是老师。
Mary eat soup.	玛丽吃汤。
David like salad.	大卫喜欢沙拉。
I want salad.	我想要沙拉。
Emma want noodles.	艾玛想要面条。
You eat pizza.	你吃披萨。
Lucy like dumplings.	露西喜欢饺子。
Mike like rice.	迈克喜欢米饭。
We eat noodles.	我们吃面条。
Tom want dumplings.	汤姆想要饺子。
David is a nurse.	大卫是护士。
I like soup.	我喜欢汤。
John want noodles.	约翰想要面条。
Mike want noodles.	迈克想要面条。
Mary eat soup.	玛丽吃汤。
Emma is a cook.	艾玛是厨师。
I like noodles.	我喜欢面条。
Mike want noodles.	迈克想要面条。
Anna is a nurse.	安娜是护士。
Lucy want rice.	露西想要米饭。
You want bread.	你想要面包。
Emma is a cook.	艾玛是厨师。
You want dumplings.	你想要饺子。
Mike eat soup.	迈克吃汤。
Mike like soup.	迈克喜欢汤。
Mike like rice.	迈克喜欢米饭。
Tom want dumplings.	汤姆想要饺子。
Where is the restaurant?	餐厅在哪里？
Anna want noodles.	安娜想要面条。
Mary eat rice.	玛丽吃米饭。
They want bread.	他们想要面包。
Emma eat soup.	艾玛吃汤。
David want ice cream.	大卫想要冰淇淋。
David is an engineer.	大卫是工程师。
Anna want bread.	安娜想要面包。
Mike is a driver.	迈克是司机。
John is a teacher.	约翰是老师。
John want dumplings.	约翰想要饺子。
We want noodles.	我们想要面条。
I like noodles.	我喜欢面条。
John is a designer.	约翰是设计师。
I eat bread.	我吃面包。
John want noodles.	约翰想要面条。
We are a student.	我们是学生。
They eat pizza.	他们吃披萨。
Anna eat bread.	安娜吃面包。
Mike like rice.	迈克喜欢米饭。
You are a doctor.	你是医生。
I like pizza.	我喜欢披萨。
I eat bread.	我吃面包。
Lucy eat ice cream.	露西吃冰淇淋。
You eat bread.	你吃面包。
Mary eat salad.	玛丽吃沙拉。
You eat ice cream.	你吃冰淇淋。
Mary is an engineer.	玛丽是工程师。
Lucy eat bread.	露西吃面包。
I want salad.	我想要沙拉。
David eat soup.	大卫吃汤。
Mike like rice.	迈克喜欢米饭。
Emma want salad.	艾玛想要沙拉。
John want pizza.	约翰想要披萨。
They like dumplings.	他们喜欢饺子。
Lucy like ice cream.	露西喜欢冰淇淋。
I am a doctor.	我是医生。
David eat soup.	大卫吃汤。
We want rice.	我们想要米饭。
Mike is a designer.	迈克是设计师。
Emma is an engineer.	艾玛是工程师。
David want dumplings.	大卫想要饺子。
Anna like soup.	安娜喜欢汤。
I want noodles.	我想要面条。
Tom want salad.	汤姆想要沙拉。
Tom like rice.	汤姆喜欢米饭。
Lucy eat noodles.	露西吃面条。
Lucy eat rice.	露西吃米饭。
You want rice.	你想要米饭。
They are an engineer.	他们是工程师。
They want dumplings.	他们想要饺子。
I like noodles.	我喜欢面条。
We want dumplings.	我们想要饺子。
Mike eat bread.	迈克吃面包。
John eat noodles.	约翰吃面条。
Mary eat noodles.	玛丽吃面条。
David want salad.	大卫想要沙拉。
They want bread.	他们想要面包。
David like ice cream.	大卫喜欢冰淇淋。
